author,published_at,updated_at,like_count,text
@gillrogerson3720,2024-12-13T16:04:34Z,2024-12-13T16:04:34Z,0,"<a href=""https://www.youtube.com/watch?v=OzY2r2JXsDM&amp;t=113"">1:53</a> roar"
@ƏlizahabMirzəyev,2024-12-13T12:30:42Z,2024-12-13T12:30:42Z,0,İnfamous Second Son Movie<br>Pls🙏
@KINGMEMPH,2024-12-12T09:11:47Z,2024-12-12T09:12:24Z,5,Why the hate? This movie was incredible and the actors and visuals were a 10/10 . Story was amazing. NEED . MORE. ASAP
@seberry1,2024-12-11T23:22:51Z,2024-12-11T23:22:51Z,1,"I thought this film was poorly written and forgettable. First off, no &quot;large cocoon&quot; would have survived the nuclear detonation of the M-class star freighter Nostromo. Second, how could a band of teenage misfits commandeer the Corbelan IV without being detected and stopped by the security forces of a clearly repressive slave colony regime on LV-410? It doesn&#39;t make sense, then it gets worse. As if lacking the imagination to not simply re-cycle the same tired, overused elements from the Alien franchise (face hugging and chest bursting and all the rest), Team Álvarez goes on to do exactly that. Only in this predictable recycling the aliens look silly, like lobsters scurrying around on meth. I thought the original Alien film was a masterpiece but it was a film that was true to itself; it was nuanced with mood and mature relationships, not to mention that the plot points had an impelling credibility and focus. My recommendation: don&#39;t waste your precious time."
@D_G_011,2024-12-11T12:27:59Z,2024-12-11T12:27:59Z,3,Actres from disney teenage movies. Stupid ans boring movie!
@timurozalp,2024-12-11T08:37:13Z,2024-12-11T08:37:13Z,2,"I wish this movie had never been made.  Disgrace of the series, disgusting. wretched.<br>They re-shot some scenes from old movies with a few teenagers."
@project-pe6ly,2024-12-11T02:17:27Z,2024-12-11T02:17:48Z,2,the aesthetics in this movie remind me of Blade Runner 2049
@ely-t4o,2024-12-10T23:50:14Z,2024-12-10T23:50:14Z,1,Teens on a spaceship? unbelivable!!!
@Contagious93812,2024-12-10T13:05:43Z,2024-12-10T13:05:43Z,1,judging by the trailer - the movie looks uninteresting and unoriginal...
@zillsburyy1,2024-12-10T08:35:52Z,2024-12-10T08:35:52Z,3,"I liked the new alien movie because they got it right. the colors, the sounds, the shapes and styles of their environments. it&#39;d what we want to see because although it&#39;s not ad good as the 80s  version, it delivers the goods. also cgi I&#39;d kept to s minimal."
@viswasubramanian4738,2024-12-08T05:21:18Z,2024-12-08T05:21:18Z,3,So good. Watch it❤
@JulieHastie-v2r,2024-12-07T17:47:38Z,2024-12-07T17:47:38Z,1,Its bloody d good
@volpeverde6441,2024-12-07T15:21:54Z,2024-12-07T15:21:54Z,0,ALIEN....                   ALIENS....<br>PROMETHEUS....    ROMULUS....<br>(xenos - present - but take a back seat....while NEW CREATURES are developed....    <br>Rook and Bobroczkamorph were real treats after covenant....)
@MrGriff305-d3u,2024-12-07T14:53:16Z,2024-12-07T14:54:28Z,1,"Unfortunately, Prometheus ruined the Alien universe by removing their mystique. Also, the Aliens get more and more nerfed with every movie. I also don&#39;t understand how they grow incredibly fast with no food, where the role of the human host is getting less relevant. But maybe I think too much"
@EddieFelson777,2024-12-07T05:49:13Z,2024-12-07T05:49:13Z,3,This entire movie plagiarized every single Alien film.
@TruthGatherer2013,2024-12-06T21:45:59Z,2024-12-06T21:45:59Z,3,"If it&#39;s woke, it&#39;s a joke"
@KlaraL-_-,2024-12-06T21:38:32Z,2024-12-06T21:38:32Z,2,Just watched it and it was incredible!! Gives off that creepy atmosphere from the first movie.
