author,published_at,updated_at,like_count,text
@ShuddhaZaman,2024-06-27T19:57:04Z,2024-07-01T05:20:54Z,2,&quot;I must not fear.<br>Fear is the mind killer.&quot;
@Mrz_Fredy,2024-06-27T04:35:11Z,2024-06-27T04:35:11Z,2,Kalki2098ad
@NileshKumar-tu4jc,2024-06-24T15:07:58Z,2024-06-24T15:07:58Z,1,Abe kaha se lg rhi hai kalki jesi saley kuch bhi bolte hai koi India se hai kya??
@mariofanv340,2024-06-20T15:51:53Z,2024-06-30T13:21:11Z,0,"<a href=""https://www.youtube.com/watch?v=Way9Dexny3w&amp;t=117"">1:57</a> <a href=""https://www.youtube.com/watch?v=Way9Dexny3w&amp;t=135"">2:15</a>"
@MarcusTaylor-vq9dc,2024-06-19T11:53:40Z,2024-06-19T11:53:40Z,0,"I am, at this moment, in the torturous act of watching this mishmash of poison transmutating, water of life, chosen one laden drivel. This unnecessary waste of CGI insults its audience on every level, attaching painful hubris and cloying gravitas to the most cliched and well trodden statements. And, tepid acting and by the numbers Other World story arcs aside......please, for the love of chemical chance, can this sludh be the final appearance, pretty please, of invented languages which are blatant Jabba the Hut ripoffs. Zendaya gets points for frckability, but if youre over 14, or female, this movie will take a few hours from your life, and give you brain ulcers, at best."
@anastasiabovtiuk3715,2024-06-17T10:38:35Z,2024-06-17T10:38:35Z,0,❤❤❤❤❤❤
@RayaTigers10-js2hb,2024-06-16T22:05:57Z,2024-06-16T22:05:57Z,2,I have watched this movie at 2:25 pm today
@ЮраГаза-и4у,2024-06-16T08:01:03Z,2024-06-16T08:01:03Z,0,❤
@alexstatlenz,2024-06-15T03:29:54Z,2024-06-15T03:29:54Z,0,I got to rent this.
@32Knives,2024-06-15T03:21:30Z,2024-06-15T03:21:30Z,4,BEST MOVIE I HAVE EVER SEEN
@iamindian2154,2024-06-14T08:09:25Z,2024-06-14T08:09:25Z,3,Kalki is Inspired by this.
@CuzmicTarot,2024-06-13T00:59:08Z,2024-06-13T00:59:08Z,0,"<a href=""https://www.youtube.com/watch?v=Way9Dexny3w&amp;t=30"">0:30</a>  zanku from charmed? Or.. 😅🎉"
@nellyjohnson4230,2024-06-12T04:37:29Z,2024-06-12T04:37:29Z,0,This movie was absolutely amazing! And watching it in IMAX just made it even better. One of my most favorite sci fi movies of all time. I wish Frank Herbert was here to see that his best selling worldwide books made it into movies. Love this movie and by far better than the first. 💯💯💯
@mariofanv340,2024-06-12T04:13:30Z,2024-06-12T04:13:30Z,0,"<a href=""https://www.youtube.com/watch?v=Way9Dexny3w&amp;t=47"">0:47</a>"
@cavalierdecoupe,2024-06-11T11:14:28Z,2024-06-11T11:14:28Z,0,Villeneuve hates color
@alensanyaomaladyan9064,2024-06-11T10:58:50Z,2024-06-11T10:58:50Z,1,Al mahdi
@udaynaidu3101,2024-06-11T08:15:43Z,2024-06-11T08:15:43Z,1,It&#39;s like kalki 2898Ad prabhas
@VoldoronGaming,2024-06-11T03:06:13Z,2024-06-11T03:08:32Z,0,I must say muad’dib riding the worm was my favorite scene and how it affected Chani and Stilgar fit their characters. For chani is was pride relief and excitement all rolled into one. For stilgar he is literally watching prophecy come true before his very eyes and looks overwhelmed. Not confirmation of decades of belief but stunned and overwhelmed at the same time. Just spectacular. You can almost feel this is what riding the controlling a giant worm would feel like and look like and it just so happens to be the biggest one anyone has ever seen.
@togarionbaremmon985,2024-06-10T21:49:35Z,2024-06-10T21:49:55Z,1,Denis Villeneuve is one of the best directors of all time! A veritable artist.
@Mani_20,2024-06-10T16:05:43Z,2024-06-10T16:05:43Z,5,Who came after kalki🔥🌝
@gbn2730,2024-06-10T14:07:33Z,2024-06-10T14:07:33Z,7,Who is here after watching &#39;Kalki 2898AD trailer???😀
@IgalaPVL,2024-06-09T10:19:45Z,2024-06-09T10:19:45Z,0,Аплодирую стоя  👋👋👋
@marioandresmunoz5917,2024-06-08T21:24:48Z,2024-06-08T21:24:48Z,0,SaaaPEEEEEEEE LOKItaaaaaaaaaaa
@levelbogar8,2024-06-07T06:14:22Z,2024-06-07T06:14:22Z,0,my favorite part was when Paul yelled to the crowd: &#39;It&#39;s Dune: Part Two time!&#39; Goosebumps.....
@zorroalejo,2024-06-07T04:21:48Z,2024-06-07T04:21:48Z,0,SAAAAPEEEE LOOOKIIITAAAAA!!
@matiasbaygorriag.4196,2024-06-07T03:06:26Z,2024-06-07T03:06:26Z,0,Sapeeeee loquiiiitaaaaa
@Chanuwatsrithong65,2024-06-05T00:57:09Z,2024-06-05T00:57:09Z,0,what is arrakis
@Shasir,2024-06-05T00:47:35Z,2024-06-05T00:47:35Z,0,Saaaaaaapeeeee loooquiiiitaaaaa
@Quarius,2024-06-05T00:16:48Z,2024-06-05T00:16:48Z,0,"Very good movie, I completely sympathize with the movie.  My favorite movie I&#39;m waiting for part 3. 👍😀"
@borish99kshetri20,2024-06-03T14:31:19Z,2024-06-03T14:31:19Z,0,Believe me this movie is a waste of time not a single scene is interested i
@glorialoftin2704,2024-06-02T20:30:01Z,2024-06-02T20:30:01Z,0,Dune 3!👍👍👍  Dune 3!  Dune 3!
@antonitobendrito2243,2024-06-02T14:08:10Z,2024-06-02T14:08:24Z,0,"Duncan Trussel brought me here <a href=""http://www.youtube.com/results?search_query=%23jre"">#JRE</a>. So this movie is Cloud Atlas on steroids???"
@MilanBalog-mr9js,2024-06-01T10:36:27Z,2024-06-01T10:36:27Z,0,❤
@ladygaga2343,2024-05-30T22:35:48Z,2024-05-30T22:35:48Z,1,Muslim movie about holy war and the killing of all non-muslims.
@yautja444,2024-05-30T11:54:32Z,2024-05-30T11:54:32Z,1,CASTING FCKED UP WITH ZENDAYA! SHE LOOKS LIKE A 15 YEAR OLD SCHOOL BOY! AND SHE SUCKS AT ACTING! THEY MUST HAVE RAP MUSIC ON ARRAKIS THE WAY SHE ACTS! PFFF!
@ucheuchema1081,2024-05-28T06:51:32Z,2024-05-28T06:51:32Z,0,"Just watched dune 2. The most messed up Dune movie I&#39;ve ever seen. They twisted and mauled  the events from the book like crazy. Please Dennis, don&#39;t mutilate dune any further by doing a part 3. Please don&#39;t!"
@paulnantulya,2024-05-28T01:11:19Z,2024-05-28T01:11:19Z,0,"As someone who worked in Sudan for many years, this series and the books that it is rooted in, is unashamedly about Arabs, their culture, heroes, and their experiences of colonialism, great power tussles, and the struggle for their resources (oil is pithily presented as &quot;spice&quot; for example). I only wish that peoples from the lands that inspired Dune were included as actors, script writers, and consultants. Many of the names and concepts that are descriptive of awe inspiring elements like the &quot;eyes of Ibad&quot; and &quot;shai hulud&quot; and the &quot;mahdi&quot; are mispronounced, even if they are placed in a historical context that is basically correct. I hope they draw more on the indegenous cultures and peoples in the next series. But a must watch nonetheless."
@paulnantulya,2024-05-28T01:03:10Z,2024-05-28T01:03:10Z,1,The dangers of placing enormous faith and hope in a single charismatic figure.
@theapocalypse12,2024-05-27T12:08:46Z,2024-05-27T12:08:46Z,1,Am i the only person who watches trailer after watching movies ?
@piotrpawlicki6636,2024-05-25T13:24:10Z,2024-05-25T13:24:10Z,0,Zwiastun dobry jak film oglądałem jest super
