author,published_at,updated_at,like_count,text
@lukestocks4370,2024-08-30T10:47:34Z,2024-08-30T10:47:34Z,0,This was filmed in my home town.....<br>And i still don&#39;t want to see it
@NikitaD1314,2024-08-27T22:29:50Z,2024-08-27T22:29:50Z,0,When the trailer is better than the movie...
@TaylorSmith2443,2024-08-27T17:13:02Z,2024-08-27T17:13:02Z,11,"Such an underrated movie, watched it last night and this is the best movie I&#39;ve seen in a really long time. Cannot believe it didn&#39;t do well. Maybe just not enough marketing for the movie?"
@wolfenstein722,2024-08-26T20:42:47Z,2024-08-26T20:42:47Z,0,"The more I watched this, the more my rating went down, it&#39;s a one at best, don&#39;t waste your time...."
@christianbugnosen9239,2024-08-26T02:48:42Z,2024-08-26T02:48:42Z,1,did I just watch the whole movie in 3 minutes? ahahah
@sevallM,2024-08-25T02:49:32Z,2024-08-25T02:49:32Z,1,Next 007 should be Ryan Gosling.
@pegasusgalaxy68,2024-08-24T09:17:59Z,2024-08-24T09:17:59Z,0,Garbage dont bother ....bad story...wrong lead....not even close to the original..no wonder was a flop and lost millions of dollars....lead should of stuck to barbie ..
@marcella8496,2024-08-23T06:16:19Z,2024-08-23T06:16:19Z,2,"Great movie, I love it! There&#39;s everything: love, action (great action indeed!), fun, moral teaching, and I just adore the soundtrack, my songs from the 80s revisited. I sang along all the time! Blunt and Gosling are supercool and the chemistry between them is strong, the director Leitch is simply a genius in the way he orchestrated all the scenes, which are supported by novel ideas in both the sequence and the effects and insight into the characters&#39; personality. This movie is going to be my movie🧡"
@HI_imLeahhh,2024-08-21T05:41:39Z,2024-08-21T05:42:14Z,0,what a waste of talent....good actors baaaad movie
@chrisferguson1911,2024-08-18T01:43:53Z,2024-08-18T01:43:53Z,1,"Hey, Universal, why&#39;d ya go from Bon Jovi to Kiss?🤷‍♂️"
@Boardgametime,2024-08-17T16:39:32Z,2024-08-17T16:39:32Z,1,I Seriously loved this movie! 10/10! ❤
@sirius-seriøs,2024-08-16T22:28:15Z,2024-08-16T22:28:15Z,3,Best movie I&#39;ve ever seen🤩
@inonil309,2024-08-16T09:47:12Z,2024-08-16T09:47:12Z,0,I can&#39;t imagine why i even download this movie to watch.
@Dan_ChipX,2024-08-15T19:25:16Z,2024-08-15T19:25:16Z,1,such a bad movie....in three years there has not been a good movie....
@aryanmishra3776,2024-08-15T17:26:30Z,2024-08-15T17:26:30Z,0,I&#39;m here for Emily Blunt
@krkvtpkshitijrawat9487,2024-08-14T19:00:21Z,2024-08-14T19:00:21Z,0,This movie evidently shows the talent vacuum in holywood
@EuroLatinoRacing,2024-08-12T00:08:34Z,2024-08-12T00:08:34Z,0,Really ? This cheap stuff does not even come close to Colt . . . . . . . . . .
@sin-r6p,2024-08-11T14:47:14Z,2024-08-11T14:47:14Z,1,HE&#39;S JUST LIKE ME FR ! ! ! ! ! ! !
@thankyouforeverything6250,2024-08-11T11:59:59Z,2024-08-11T11:59:59Z,0,"Whats the name of song <a href=""https://www.youtube.com/watch?v=j7jPnwVGdZ8&amp;t=112"">1:52</a>"
@arawindasunimal391,2024-08-11T03:13:58Z,2024-08-11T03:13:58Z,2,Best Movie ❤❤❤
