author,published_at,updated_at,like_count,text
@angushall6377,2025-04-11T10:51:59Z,2025-12-01T20:56:13Z,0,Big biggest Problem  Thomas frank aner slot enzo maresca
@LazarusUnwrapped,2025-04-10T09:20:08Z,2025-04-10T09:20:53Z,1,"They show the best scenes in the trailer. I’m not familiar with the comic character either. I wouldn’t recommend paying for it. Dissapointing and mediocre, with a p*ss-poor dialogue. Some might like it. I was hoping for something a little darker."
@regden6054,2025-04-08T18:31:21Z,2025-04-08T18:31:21Z,1,It was stupid because the girl had a superhuman potion and she gave it to someone she didn&#39;t know what if he was a psychopath stupid plot
@lpmj2619,2025-04-07T13:11:07Z,2025-04-07T13:19:32Z,0,Yoooo! Kraven filled a huge superhero gap. Am I right?🙌🏽
@WengCeruela,2025-04-06T15:10:36Z,2025-04-06T15:10:36Z,3,great movie💗💗💗
@Sonny.exe01,2025-04-06T02:20:31Z,2025-04-06T02:20:31Z,0,Movie name
@fit.sunilj,2025-04-05T18:14:06Z,2025-04-05T18:14:06Z,0,@marvel Entertainment....you showed so many animals.....what you did for those poor animals (I hope you understand &quot;poor&quot;) I expect to hear from you marvel.
@carlosalfaro2465,2025-04-05T14:59:32Z,2025-04-05T14:59:32Z,1,Whos playing Kraven? Is it the Kickass guy?
@iamsavagenotaverage,2025-04-04T22:02:27Z,2025-04-04T22:02:27Z,0,It&#39;s kravin time
@Magmatai,2025-04-03T22:13:38Z,2025-04-03T22:13:38Z,0,But does the man come around?
@samarishv,2025-04-03T16:39:12Z,2025-04-03T16:39:12Z,1,Utter flop movie
@nat0106951,2025-04-02T07:53:03Z,2025-04-02T07:53:03Z,2,from kickass to quicksilver then to kraven.
@samsonrao3793,2025-04-02T07:22:44Z,2025-04-02T07:22:44Z,0,It was terrible. Not convincing. Totally predictable 😴
@ItachiUchiha-ws3dy,2025-04-01T16:31:22Z,2025-04-01T16:31:22Z,0,I thought Scott Adkin would be the casting and also would good. But it is what it is.
