author,published_at,updated_at,like_count,text
@drinkwatersangpyre,2024-06-03T23:01:03Z,2024-06-03T23:01:03Z,2,loved this sm. reminds me of edward scissorhands and heathers
@casper9104,2024-06-02T20:05:50Z,2024-06-02T20:05:50Z,4,"This film was so good, god I&#39;m so alone, why am I sad that a corpse man won&#39;t kill people for me"
@JamieOCharlotte,2024-06-02T05:56:58Z,2024-06-02T05:56:58Z,5,"I absolutely loved this movie?!! As a GenXer, it all came rushing back! Great Plot. Great Costume. Great Acting. Great Music. I demand a sequel! 🖤🤍"
@JCedits83,2024-05-27T11:22:57Z,2024-05-27T11:22:57Z,0,Fillipinos assemble ✊
@lucasluckproductions,2024-05-26T19:11:49Z,2024-05-26T19:11:49Z,22,"This movie was everything. I can&#39;t get enough of it. The aesthetics, the music - I need a part two"
@emiliotobonferia2313,2024-05-25T04:19:18Z,2024-05-25T04:19:18Z,0,La mejor peli del año!
@Mike-cv5or,2024-05-23T19:06:30Z,2024-05-23T19:06:30Z,1,Glorifying serial killers
@masonroberts8159,2024-05-21T14:58:54Z,2024-05-21T14:58:54Z,0,This movie looks like absolute shit....<br><br>Imma still watch it for Kathryn &amp; Cole though 🤣💀
@hapean,2024-05-18T09:12:09Z,2024-05-18T09:12:09Z,0,"aint nobody gonna replace Johny depp&#39;s magic in a movie roll, not even close"
@CosmoInterestelar,2024-05-17T22:53:11Z,2024-05-17T22:53:11Z,1,cool movie
@TL-ch1xd,2024-05-16T19:18:05Z,2024-05-16T19:18:05Z,3,"Someone took Edward Scissorhands, merged it with Beetlejuice and threw in some Heathers and early Madonna. I get it: there’s nothing like music, tv-series and movies from the 80s and 90s. It was a nice era to grow up in."
@jasondavidstapleton8337,2024-05-15T07:57:55Z,2024-05-15T07:57:55Z,3,I just watched the DVD I loved it amazing great movie Zelda Williams your awesome
@TheRealKarlis,2024-05-13T17:56:41Z,2024-05-13T17:56:41Z,2,"Watched it last night. Very 80s. Fun story line. Ending is a bit anticlimactic, but otherwise it takes me back to 1989."
@acousticaesthetics7535,2024-05-13T03:51:32Z,2024-05-13T03:51:32Z,0,Edward Scissorhands
@rayrodriguez2291,2024-05-09T17:36:44Z,2024-05-09T17:36:44Z,2,This movie sucks<br><br>Period
@k3il156,2024-05-09T09:21:41Z,2024-05-09T09:21:41Z,0,telling your own name kinda weird 😅
@sannypsaykho,2024-05-08T02:35:03Z,2024-05-08T02:35:03Z,0,for a second I thought he was Johnny Depp
@DeathByOstrich-m5i,2024-05-07T02:04:58Z,2024-05-07T02:04:58Z,1,"wow. whoever directed this should be charged with plagiarism from Tim Burton.  If you don&#39;t see how much of a total ripoff this is from Edward Scissorhands and Beatlejuice, you haven&#39;t seen them."
@christophermoshier,2024-05-06T23:26:43Z,2024-05-06T23:26:43Z,1,This reminds me very much of Edward Scissor Hands.
@kascnef,2024-05-05T11:23:30Z,2024-05-05T11:23:30Z,3,Is this better than aquaman 2
@TheSuirad,2024-05-05T01:27:34Z,2024-05-05T01:27:34Z,0,Season 3 of American Horror Story did it better.
@aydensullivan9846,2024-05-04T03:55:35Z,2024-05-04T03:55:35Z,2,"I need more Kathryn newton, she NAILED this role"
@Lyvia-cardoso,2024-05-03T02:54:58Z,2024-05-03T02:54:58Z,0,ACABEI DE ASSISTIR.<br>E AMEI O FILME ❤.
@H0kkyUp4s,2024-05-01T04:07:58Z,2024-05-01T04:07:58Z,0,"muito merda, vtmnc"
@arcaylan,2024-04-27T08:01:38Z,2024-04-27T08:01:38Z,1,Madonna fan!
@ohyang838,2024-04-26T10:27:43Z,2024-04-26T10:27:43Z,4,I really Love there chemistry..
@Jmichael98,2024-04-25T17:31:26Z,2024-04-25T17:31:26Z,1,Liza as Taffy.... 🤯
@ArmandHansmann,2024-04-24T19:05:21Z,2024-04-24T19:05:21Z,0,Hit horror movie!
@Ecutt,2024-04-24T05:01:46Z,2024-04-24T05:01:46Z,0,Anyone know what book she leaves at his grave?
@Ze_bubble,2024-04-24T02:29:41Z,2024-04-24T02:30:23Z,8,The fact they got together and fell in love with eachother at the end and the movie was released on Valentine’s Day is so perfect 😭😭😭
@giafredrick9611,2024-04-24T01:43:29Z,2024-04-24T01:43:29Z,0,I love this movie❤❤❤❤
@EVLP98,2024-04-23T11:34:09Z,2024-04-23T11:34:09Z,1,The MAGNIFICENT BOX OFFICE...<br><br><br>BOMB!
@GRNKRBY,2024-04-22T04:09:45Z,2024-04-22T04:09:45Z,0,Definitely reminded me of some of those darker 80s horror rom coms. And the soundtrack was nice.
@ngarren13,2024-04-20T11:32:33Z,2024-04-20T11:32:33Z,2,"Just the right amount of cheese and campiness!!! Got so much Rocky Horror and Tim Burton vibes. The creature was a mix between Meatloaf, Danzig, Johnny Depp and Tim Curry at times. It&#39;s a fun popcorn film destined for Cult status. Really enjoyed this movie!!"
@jimmymora5800,2024-04-19T18:26:16Z,2024-04-19T18:26:16Z,0,Amazing movie! I can watch it over and over
@crissy_gyrl,2024-04-19T11:29:59Z,2024-04-19T11:29:59Z,0,A very true love romantic story ❤
@loladexploradora5567,2024-04-17T23:36:23Z,2024-04-17T23:36:23Z,0,It gives me Veronica and JD vibes but they stay together in the end😂❤
@dubdoodle7191,2024-04-16T12:09:26Z,2024-04-16T12:09:26Z,1,Only thing good is the soundtrack
