author,published_at,updated_at,like_count,text
@maritzanavarrete3712,2025-04-18T20:45:11Z,2025-04-18T20:45:11Z,0,Mufasa and Simba
@polyinhoe,2025-04-18T15:09:42Z,2025-04-18T15:09:42Z,0,This movie made me shed a tear just like i watched the cartoon lion king when i was a kid.
@Julian_Hunt,2025-04-18T14:32:50Z,2025-04-18T14:32:50Z,0,Take : born a prince a loved people <br>Scar : formed by Sarabi not loving him
@TwiceTwice-xc2qm,2025-04-18T11:10:29Z,2025-04-18T11:10:29Z,0,Is new or what ?
@rosen9197,2025-04-18T06:53:09Z,2025-04-18T06:53:09Z,0,No you lost<br>toko
@Aide473,2025-04-17T19:16:19Z,2025-04-17T19:16:19Z,0,It&#39;s about time r Kelly was stolen
@mangalikagurudeniya5544,2025-04-17T03:20:16Z,2025-04-17T03:20:16Z,0,Please Can I have the original movie ❤
@bradleyhurt4500,2025-04-16T20:55:40Z,2025-04-16T20:55:40Z,0,"Will Disney return to making hand-drawn animated films in the near future? Because I prefer hand-drawn animation more than computer animation. It&#39;s much more magical, in my opinion. 🤔"
@w-z3p,2025-04-16T20:26:59Z,2025-04-16T20:26:59Z,1,Squeal: Scar. (Richard III)
@w-z3p,2025-04-16T20:11:06Z,2025-04-16T20:11:06Z,1,Disney&#39;s The Tempest.
@haleynsskill9935,2025-04-16T17:00:45Z,2025-04-16T17:00:45Z,0,Beyonce and her nepo baby ruined this movie
@Beluga_0-0,2025-04-16T06:13:30Z,2025-04-16T06:13:30Z,1,I wish we could get a alternative ending 😢 Mufasa could have fargavr Taka.
@sarahturner80s-90s,2025-04-15T18:22:23Z,2025-04-15T18:22:23Z,0,The original lion king from my 90s childhood is my lion king not this remake from this generation.
@letsbehonest4221,2025-04-14T22:49:24Z,2025-04-14T22:50:12Z,0,I actually surprised the left wing nutters didn&#39;t protest untill Mufasa was made into  a Dark Transgender feminist...
@eliabsouza1485,2025-04-14T22:49:21Z,2025-04-14T22:49:21Z,0,Sera que vao estragar mais uma historia ?
@cleberDelgadoleticiaa,2025-04-14T22:35:34Z,2025-04-14T22:35:34Z,1,C
@jamesbarnett3373,2025-04-13T19:28:55Z,2025-04-13T19:28:55Z,0,New post the lion king   Netflix
@Im-weirdo-1,2025-04-13T01:02:18Z,2025-04-13T01:02:18Z,0,Waa This makes me sad lol 😢
@KimberlyDalietArevaloGiron,2025-04-12T20:17:56Z,2025-04-12T20:17:56Z,0,You can now see It on Disney
@MohammedAbdulBari-z7u,2025-04-12T13:15:30Z,2025-04-12T13:15:30Z,0,Nice movie 🍿🎥
@cricket531,2025-04-12T11:05:27Z,2025-04-12T11:05:45Z,1,"My God this movie inspired me<br>Make me wanna know my root<br>Where I come from ,who is my King <br>Who is my Queen"
@khaledrani8408,2025-04-12T09:52:38Z,2025-04-12T09:52:38Z,0,"Fun fact: in <a href=""https://www.youtube.com/watch?v=o17MF9vnabg&amp;t=58"">0:58</a>, Taka says in the trailer, “I have a secret Mufasa, I always wanted a brother”; however the final cutscene in the actual movie he said, “I have ONE more secret Mufasa, I always wanted a brother” :)"
@LiminalLion,2025-04-12T08:26:44Z,2025-04-12T08:26:44Z,2,This movie caused my depression.
@George_has_a_problem,2025-04-11T15:50:07Z,2025-04-11T15:50:07Z,0,sonic 3 claps
@tinahansen7337,2025-04-10T18:05:45Z,2025-04-10T18:05:45Z,0,Kæft den er dårlig😆
@lizmwamadi9515,2025-04-10T11:36:15Z,2025-04-10T11:36:15Z,0,Let&#39;s have a movie based on scar
@JimmySweat-k1z,2025-04-10T00:28:25Z,2025-04-10T00:28:25Z,0,When the queen taught him to hunt <br>Fire 🔥
@JimmySweat-k1z,2025-04-10T00:22:05Z,2025-04-10T00:22:05Z,0,I love this movie it hit home hard <br>Ain&#39;t been right since <br>Watched it twice <br>Crying
@JimmySweat-k1z,2025-04-10T00:21:32Z,2025-04-10T00:21:32Z,0,I learned a lot about life watching Disney <br>Another biblical classic <br>I heard all the negative press about the company<br> <br>I guess it&#39;s the lens you look through <br>Thanks for confirming the book and teaching another valuable lesson <br><br>Can always count on you for teachable moments <br>John 17:15-18<br>Luke 16:8 <br><br>I&#39;ve always seen the word in your movies <br>I see 👀 with the eyes of a child
@seanmcburney8643,2025-04-09T15:18:08Z,2025-04-09T15:18:08Z,0,oh yeah that&#39;s kion and kiara&#39;s grandfather.
@MariaSokolovsky,2025-04-09T11:46:11Z,2025-04-09T11:46:11Z,0,Chronicles of Pridelands fans unite
@Lenakor4,2025-04-09T03:45:21Z,2025-04-09T03:45:21Z,0,White lions are bad!?!?!<br>😂🤮🤣🤮🤣🤮
@KC-CHIEFS-1,2025-04-08T23:39:20Z,2025-04-08T23:39:20Z,0,It makes no sense. They should’ve recorded part two as part one and part one as part two it would make more sense but movie was OK anyway.
@H44LANDG,2025-04-08T19:41:29Z,2025-04-08T19:41:29Z,0,Scar of África ♥️
@Emiliovilla24,2025-04-08T03:29:16Z,2025-04-08T03:29:16Z,0,"From saving his life to taking it back, this movie is deep asf"
@NeKa..,2025-04-07T17:26:37Z,2025-04-07T17:26:37Z,0,"Jungle rule ....only one lion can be the king of the pride...nature, however,  is bigger and allows them all to have their way. Point is, I grew up in ancient wisdom civilization where there are specialisation but room for all...west however is still young and...well mufasa, or scar."
@irenepatapiou,2025-04-07T16:06:07Z,2025-04-07T16:06:07Z,0,Amazing story❤
@elizabethjackson3176,2025-04-07T08:00:16Z,2025-04-07T08:00:16Z,3,"At this point the lion king franchise is being milked with mediocre writing, storylines, bad voice actors, and even worse songs. These live action movies don’t compare to the Original."
@Akyra-j7g,2025-04-06T22:58:21Z,2025-04-06T22:58:21Z,0,Laaaaame
@panoranma,2025-04-06T22:30:48Z,2025-04-06T22:30:48Z,0,"<a href=""https://www.youtube.com/watch?v=o17MF9vnabg&amp;t=58"">0:58</a>"
@amitdreamy8972,2025-04-06T17:28:34Z,2025-04-06T17:28:34Z,0,Tiger kab se Muslim ho gya
@JoeyLott-q5w,2025-04-06T17:20:38Z,2025-04-06T17:20:38Z,1,"<a href=""https://www.youtube.com/watch?v=o17MF9vnabg&amp;t=61"">1:01</a>"
@NolanRose-k8c,2025-04-06T17:11:12Z,2025-04-06T17:11:12Z,2,Better than the snow white live action in my opinion
@darrendowning6644,2025-04-06T07:16:04Z,2025-04-06T07:16:04Z,0,Justice for Scar
@Pizzazz80,2025-04-06T02:21:41Z,2025-04-06T02:21:41Z,0,I didn’t know I would bc of how Disney is now but I ADORED THIS MOVIE!!!!!💝
@tonyilias2561,2025-04-06T01:27:49Z,2025-04-06T01:27:49Z,1,Awful film that no one asked for
@samanthanicolesmith9626,2025-04-06T00:36:21Z,2025-04-06T00:36:21Z,0,They look malnourished.
@Dunkywunkyisamazing,2025-04-05T18:22:13Z,2025-04-05T18:22:13Z,0,Disney make something original 😭 stop ruining your classics
@shoaibnawaz3723,2025-04-05T14:20:17Z,2025-04-05T14:20:17Z,0,The lions king seam repiter story
@Unknown73-w5n,2025-04-05T13:12:41Z,2025-04-05T13:12:49Z,0,"<a href=""http://www.youtube.com/results?search_query=%23justiceforscar"">#JusticeForScar</a>"
