author,published_at,updated_at,like_count,text
@zv3456u-,2025-04-21T22:22:47Z,2025-04-21T22:26:02Z,1,25 years old J0hnny Depp&#39;s daughter<br>27 years old girlfriend 070 Shake<br>2023<br><br>29 years old Emma C0rrin<br>43 years old b0yfriend Rami Malek<br>2023<br><br>69 years old Willem Daf0e<br>49 years old wife Giada C0Lagrande<br>M  2005<br><br>34 years old Aar0n Tayl0r-J0hns0n<br>58 years old wife Sam Tayl0r-W00d<br>M 2012<br><br>35 years old Nich0las H0ultz<br>31 years old girlfriend Bryana H0lly<br>2017<br><br>34 years old Bill Skarsgard<br>40 years old girlfriend Alida M0rberg<br>2016
@elikortiz3233,2025-04-20T12:07:47Z,2025-04-20T12:07:47Z,3,Dracula is better
@AdhirajPratul,2025-04-19T14:40:52Z,2025-04-19T14:40:52Z,1,&quot;But you could never please me as he could&quot; - Emotional damage done
@abrahameversley,2025-04-17T18:25:19Z,2025-04-17T18:25:19Z,0,Why i thought ts a disney movie
@jasonlui,2025-04-17T01:29:15Z,2025-04-17T01:29:15Z,0,"It a once watch experience, couldn&#39;t understand the hype for it. Being  a fan of the original was fairly disappointed. However the music score and settings  were really good."
@RichardMason-gj9ue,2025-04-16T06:43:56Z,2025-04-16T06:43:56Z,0,Just bought it it’s shite he’s not even a monster
@breezyondabeat4325,2025-04-15T10:21:48Z,2025-04-15T10:21:48Z,1,Love the suspense and real Vampire feel like Old timey Van Helsing Dracula 🔥🔥🔥
@verumabsoluta5341,2025-04-14T14:13:37Z,2025-04-14T14:13:37Z,1,Is this the girl from snow white ?
@mojokurk1637,2025-04-14T01:51:48Z,2025-04-14T01:51:48Z,1,Awesome a satanic movie coming out during a religious holiday .
@RIFLABACONBBX,2025-04-13T23:28:09Z,2025-04-13T23:28:09Z,0,this was straight ass
@Artbymirach,2025-04-12T19:28:18Z,2025-04-12T19:28:18Z,1,<b>I even resemble the Nosferatu in the film more than the character in the film.</b>
@Andrew-s4g,2025-04-11T16:48:57Z,2025-04-11T16:48:57Z,0,So... Dracula then 👀🧐😜
@jstevens8160,2025-04-11T02:10:55Z,2025-04-11T02:10:55Z,2,"Do not go see this movie,, you will regret this it’s evil and you will regret seeing it. you will never sleep well again!!! Jesus keeps us safe"
@Taylor_RPT,2025-04-10T22:10:27Z,2025-04-10T22:10:27Z,1,"Jesus is the way, the truth, and the life. Call on Jesus and He will save you."
@brainnoodleofficial,2025-04-09T05:36:10Z,2025-04-09T05:36:10Z,0,I&#39;m scared.😭
@willrush1,2025-04-09T02:36:36Z,2025-04-09T02:36:36Z,0,"Soooooo…. Here’s how I’ll put this. If you e never seen a vampire movie before, this will be great. If you’ve seen one vampire movie before… this is poop. What a draaaaaag."
@EliasTheGreat715,2025-04-03T03:02:53Z,2025-04-03T03:02:53Z,1,I can&#39;t believe that Lily Rose Depp would Agree to be Topless for when she made out with Count Orlock but it&#39;s nowhere near on the same levels as the Weekend Abusing her in the Idol and brainwashing her
@SarahPak,2025-04-01T01:46:20Z,2025-04-01T01:46:20Z,0,"Yeah, I can&#39;t.... Even the preview is hard to watch. Can&#39;t stomach it lol, would have watched in my 20s, but I&#39;ve changed.... 😂"
@DenizPolat24,2025-03-31T18:29:32Z,2025-03-31T18:29:32Z,0,Count Orlok would be an excellent black metal vocalist
@boogiewoogie6946,2025-03-31T12:12:43Z,2025-03-31T12:13:05Z,2,"Bram Stoker&#39;s Dracula directed by Francis Ford Coppola starring Gary Oldman, Keanu Reeves and Anthony Hopkins was a way better film than this"
@bidenadministrationischina5091,2025-03-31T01:06:41Z,2025-03-31T01:06:41Z,0,This movie was so boring. After one hour I checked how much longer and crapped my pants when I saw 2 1/2 hours long
@RobinKestrel,2025-03-30T22:45:24Z,2025-03-30T22:45:24Z,0,Only you… can prevent forest fires 🦉
@oneyedthing,2025-03-30T13:44:03Z,2025-03-30T13:44:03Z,0,"Starring  : The X-men. With special guest, The Green Goblin<br><br>A story about infidelity masked in a plague..."
@youaremine-c6e,2025-03-29T18:38:11Z,2025-03-29T18:38:11Z,0,Worth watching?
@arpitashukla7979,2025-03-29T16:52:21Z,2025-03-29T16:52:21Z,0,I am reading Dracula right now i got know about this from there it&#39;s kinda similar how its in book especially that carriage scene 🥶
@soulsearcher117,2025-03-29T10:35:16Z,2025-03-29T11:00:40Z,0,"I still can&#39;t believe Nosferatu is the reason why many fans of vampires believe they burn up in the sunlight. Before the first Nosferatu film came out, there was a Dracula novel by Bram Stoker that said vampires get around 70% weaker and can&#39;t use their powers that well in the sunlight."
@personnelente,2025-03-28T01:48:58Z,2025-03-28T01:48:58Z,0,"Other than a number of fine actors chewing up the scenery, the 1922 version is better."
@jannehaapala4372,2025-03-25T17:04:30Z,2025-03-25T17:04:30Z,0,Funnily &quot;nos&quot; means &quot;we&quot; and &quot;feratu&quot; means &quot;ironed&quot; so the movie is called &quot;We ironed&quot;.
@malgeezeart7545,2025-03-25T10:26:00Z,2025-03-25T10:26:00Z,31,"The cinematography is absolutely stunning, 10/10. I&#39;ve never seen a film shot this beautifully. I love how they took the dark, Nosferatu-inspired aesthetic to the extreme."
@NightimeInDeepSpace,2025-03-24T19:31:09Z,2025-03-24T19:31:09Z,0,not great. 2hrs of this lollipop head wheezing and shaking. lame creepy uncle vampire that takes a week to finish a sentence.
@KelliAnnWinkler,2025-03-24T17:46:57Z,2025-03-24T17:46:57Z,0,"Just watched it last night. It was a struggle to get through, but I did. Definitely can NOT recommend the movie on its merits. But, if you don&#39;t anything else to watch go for it."
@Nothing123-e8z,2025-03-24T10:55:46Z,2025-03-24T10:55:46Z,0,Anyone came from Joe rogan podcast
@ra-ge,2025-03-24T00:33:53Z,2025-03-24T00:33:53Z,1,"Damn the movie was amazing, definitely a must watch."
@jimotten5887,2025-03-23T20:56:05Z,2025-03-23T20:56:05Z,0,"Only actor in this film is Willem. Very bad and tasteless rendition of this great story. <br>Nothing gets really explained, the characters are depthless and ‘though the scenes jump around from one bit to the next the whole movie is as slow as a dead snail. <br>The trailer is the best bit of this film. <br>I really wanted it to be great, but it’s a great mistake to watch this scrambled eggs piece of a movie. <br>Too bad. <br>Love Willem. He’s da man. Gary Oldman 1/0. Better next time Billy boy. Watch Antichrist by Lars von Trier. That film will give real creeps. Cheers!"
@sheena.a123,2025-03-23T12:57:27Z,2025-03-23T12:57:27Z,4,"Just saw it, boring and overrated"
@Theyounglust,2025-03-23T02:17:40Z,2025-03-23T02:17:40Z,0,"Has similarities to &#39;Bram Stokers Dracula&#39; starring... Anthony Hopkins , Gary Oldman , Winona Ryder &amp; Keanu Reeves . Masterclasses in there own ways 👌"
