author,published_at,updated_at,like_count,text
@AyubHassan07,2024-07-18T14:55:48Z,2024-07-18T14:55:48Z,1,That could be an epic final fight
@TessaTickle,2024-07-18T11:27:29Z,2024-07-18T11:27:29Z,0,<b>sigh</b> you&#39;re not supposed to summarise the <b>entire</b> story in the trailer. Leave something hanging. I now no longer need to see the movie.
@HeadRinger,2024-07-17T18:24:46Z,2024-07-17T18:24:46Z,1,Tome out. Are we really gonna sot here and act like Mr Brokeback mountain can even remotely play the badass that Swayze was?  Some movies just shouldnt be remade. This is one.
@SJ-qs2gj,2024-07-17T01:05:58Z,2024-07-17T01:05:58Z,0,Khabib approves
@Abdulah-190,2024-07-16T04:57:41Z,2024-07-16T04:59:56Z,0,حبيب اهان كرامتك يا كونور ماكغريغور 😂 عامل راجل في الافلام
@noorhussainkhokhar7133,2024-07-14T10:26:14Z,2024-07-14T10:26:14Z,0,I saw a trailer another channel there was also khabib they showed in the trailer
@leefordechavia8711,2024-07-14T05:08:28Z,2024-07-14T05:19:29Z,1,"Hope there is 2,3, this movie is so dope!.. awesome&quot; the fighting scene its natural as it do..&#39; tired of seeing gun fighting&#39; this is action!.. The storylines cool&quot; like it!..  love to see JAKE GYLLENHALL FIGHT ANOTHER UFC FIGHTER and think he must loose that baby fat its kinda awkward&quot; cuz MCGREGOR physically fit on fighting&#39; scenes&#39;... Love to seeing two muscling real man fighting,👍🏽👍🏽👍🏽 OVERALL VERRY 👍👍🏽👍🏽"
@Bryant10,2024-07-14T04:54:02Z,2024-07-14T04:54:02Z,0,i Like Conor...conor in this movie is on FiRe🔥🔥🔥🤘🤘🤘
@thegamingchef3304,2024-07-14T02:27:04Z,2024-07-14T02:27:04Z,3,Am I the only one that liked this more than the original.
@FaultierSW,2024-07-10T12:51:59Z,2024-07-10T12:51:59Z,0,seriously... I will never understand this urge of Americans to &quot;remake&quot; good old original films :-(
@nickieb5297,2024-07-09T23:41:54Z,2024-07-09T23:41:54Z,1,Shouldve been tom hardy
@nickieb5297,2024-07-09T23:40:59Z,2024-07-09T23:40:59Z,2,You think they wouldve got hardy or someone not jake what a clown show dudes definitely soft
@EncrustedLionHeart,2024-07-07T20:18:33Z,2024-07-07T20:18:33Z,2,I just watched it. I was mad everytime I&#39;d see on Prime. I just knew it was going to be a crappy remake. It was fn amazing! New crush unloaded Jake😍 😩 Just how my mom was about Patrick😂 Also I had a feeling dude wasn&#39;t dead. I&#39;d say I can&#39;t wait for another but there is really no point unless Dad gets out of prison and creates another gang with Greggor looking for a rematch. That was a real hero vs villian fight and I fn loved it! Glad I finally watched this treasure 😊
@AleksandrSopko,2024-07-06T18:10:26Z,2024-07-06T18:10:26Z,1,"Z filmu jsem nadšená, doporučuji všem"
@Ivanquijadaq,2024-07-06T09:01:23Z,2024-07-06T09:01:23Z,3,They should really make a videogame adaptation
@Murli19,2024-07-06T03:47:07Z,2024-07-06T03:47:07Z,2,What if Sylvester Stallone plays the role of Dalton 😱
@Bizzy-db2mh,2024-07-05T13:49:58Z,2024-07-05T13:49:58Z,0,They should of made him attack that bus in the end
@armaansingh7025,2024-07-05T07:11:14Z,2024-07-05T07:11:14Z,1,Why he look alike brock lesnar..?
@UT9-fu3qj,2024-07-04T15:08:57Z,2024-07-04T15:11:56Z,2,"One of the worst movies I have watched. This should be classified as comedy, not action. The actors know that they are acting, and yet they pretend to act. There is no seriousness in the acting. You cannot integrate with the events of the movie because you know that it is cheap acting. There is no realism or integration with the events. It is a boring movie. 0 out of 10."
@boushbash3133,2024-07-04T07:50:02Z,2024-07-04T07:50:02Z,1,This movie is soooo bad 😂😂😂😂😂😂
@TheLowLandGardener,2024-07-03T15:14:10Z,2024-07-03T15:14:10Z,1,Young Sheldon brought me here
@chunkeyknight,2024-07-02T01:54:49Z,2024-07-02T01:54:49Z,1,What a trash movie! The only great things this movie didnwas ruin the character dalton and the movie as a whole. Why remake movies if yoyr aim is to produce garbage?
@007sweetkitten,2024-07-01T04:35:31Z,2024-07-01T04:35:31Z,3,LOVEEEEEEEEEEE thisssssssss &lt;3 10/10
@toby099,2024-06-30T19:42:48Z,2024-06-30T19:42:48Z,0,Hey fellas
@justayoutubeuser1,2024-06-30T19:20:03Z,2024-06-30T19:20:03Z,1,Roadhouse ~~~ Peter Griffin
@okanovicka,2024-06-30T09:02:22Z,2024-06-30T09:02:22Z,0,That only one roadhouse and this is not it
@zeitok8,2024-06-30T05:16:59Z,2024-06-30T05:16:59Z,1,"the same sound fx, no matter if the film is about spaceships, super heros, figts is the same"
@imadrami7821,2024-06-30T01:38:05Z,2024-06-30T01:38:05Z,0,"Fortunately for Conor, khabib did not participate because he would spoil the movie for us"
@MehmetfatihKara-r7e,2024-06-28T08:20:56Z,2024-06-28T08:20:56Z,0,Nezman izleyecez amk hadi la
@thomask7441,2024-06-27T21:59:58Z,2024-06-27T21:59:58Z,0,Connor was the only redeeming part of this dumb movie...
@jamierodriguez9072,2024-06-27T21:21:16Z,2024-06-27T21:21:16Z,0,Connor is pretty fun to see in movies tbh😂😂. He Will do it Great if We see him in More videos. I Will follow you Connor 👌
@kaber759,2024-06-25T05:31:42Z,2024-06-25T05:31:42Z,1,"They should have put prosthetic ears on him, if you are about to fight someone and they have cauliflower ears, back off"
@danielhakel3679,2024-06-24T20:56:28Z,2024-06-24T20:56:28Z,2,Just saw it connor is an amazing suprise in this
@dejannikolic315,2024-06-24T02:33:24Z,2024-06-24T02:33:24Z,0,Real life gta character conor in this movie hahaha sick movie 10 10
@AleXandrAO-rq8ki,2024-06-20T04:14:04Z,2024-06-20T04:18:57Z,0,Only good part is in the first confrontation when dude calls him Mr. SMILEY bc i always said Jake Gyllenhaal looks like Guy Smiley lmfao made me do the Leo Dicaprio pointing meme
@GDJ1957,2024-06-20T00:33:35Z,2024-06-20T00:33:35Z,2,This movie really sucked bad. Poorly written also.
@yomiwilliams4368,2024-06-18T22:48:57Z,2024-06-18T22:48:57Z,1,😂🤣him riding them to the hospital after a smack down- 💥hilarious <br>Moe cracked me up 😂
@taysteiner9199,2024-06-18T14:43:03Z,2024-06-18T14:43:03Z,0,"I just start off and thank the late great Bruce lee, Mr van dam, and Steven seagull. You guys are the only martial artist in the big screen period. That was a mockery of fighting movies. Fuckin terrible. Again thank you guys you will never be outdone.  Much respect"
@goodwood9950,2024-06-18T00:08:32Z,2024-06-18T00:08:32Z,0,I&#39;m not a big UFC fan but I just read a review saying how awful McGregor was in the movie and I have to 100% disagree. He was one the best things in the movie. I loved him in this movie
@kemurinoo2353,2024-06-17T23:24:41Z,2024-06-17T23:24:41Z,2,"My mom loved this movie, very entertaining. The soundtrack was great too."
@ertugrulsuna8527,2024-06-17T21:39:11Z,2024-06-17T21:39:11Z,1,Is that Conor? I thought that’s the one armed sweet guy from the Walking Dead.
@JackSparrow-ut1py,2024-06-16T16:45:50Z,2024-06-16T16:45:50Z,2,"It was good movie untill Conor showed up. Honestly said he ruined it. His attitude and showing up, really killed all the vibe. Conor please stay out of the acting waters."
@GaryHayden-gn2rb,2024-06-16T10:53:11Z,2024-06-16T10:53:11Z,0,"How about something new Jake ,  &quot;Forest Lasher&quot;."
@EchungEchungthung,2024-06-14T07:49:19Z,2024-06-14T07:49:19Z,1,Conor did a outstanding class acting
@aymanalshree8500,2024-06-13T14:13:25Z,2024-06-13T14:13:25Z,0,imagine khabib is working in the roadhouse 😂
@hoedemakerbart,2024-06-12T18:54:05Z,2024-06-12T18:54:05Z,1,Wtf is this? Another Hollywood copy of the original 😢
@jenniecosio3654,2024-06-11T00:44:48Z,2024-06-11T00:44:48Z,2,This was nicely done ✅👍✅✅ good movie 🎥🎥🎥🎥
@Dawah-Quest,2024-06-10T21:33:37Z,2024-06-10T21:33:37Z,2,As soon as you see Conor make his appearance in the movie you wish you hadn’t started watching. What a way to ruin a film! 😂
@ericm4426,2024-06-08T12:23:41Z,2024-06-08T12:23:41Z,2,Whata a disgrace! Never beat the original masterpiece
@habibmakhlouf2445,2024-06-06T21:54:32Z,2024-06-06T21:54:32Z,1,Movie was nice until Mcgregor showed up...he 🦃🦃 very poor actor
