author,published_at,updated_at,like_count,text
@paramountpictures,2024-11-19T20:00:25Z,2024-11-19T20:00:25Z,108,"Go backstage with <a href=""http://www.youtube.com/results?search_query=%23smile2"">#Smile2</a> and access exclusive bonus content you won’t find anywhere else. Watch Smile 2 on digital NOW: <a href=""https://paramnt.us/Smile2"">https://paramnt.us/Smile2</a>"
@UltimateBNA,2025-02-13T14:53:35Z,2025-02-13T14:53:35Z,2,"This movie is trash. Who the heck made this? It&#39;s way too boring, filled with too many illusions, and there&#39;s way too much use of the F-word."
@FluffyBunny-Roblo-BunnyGroup,2025-02-10T20:41:55Z,2025-02-10T20:41:55Z,2,The movie is better than the trailer it self
@k7s622,2025-02-10T16:46:59Z,2025-02-10T16:46:59Z,1,Again. Thank you for traumatising me again after recovering from the first movie.❤
@WinterDutchie,2025-02-09T21:33:53Z,2025-02-09T21:33:53Z,3,"I just watched this and the trailer makes it far more corny than what it is. Go watch it, I’m BEGGING you. Its FAR better than what the trailer makes it out to be."
@truedetectiveseason1494,2025-02-09T16:34:14Z,2025-02-09T16:34:14Z,2,"I liked Smile 2 even more than the first one, and both were great."
@ybndejavusandile3212,2025-02-09T15:41:28Z,2025-02-09T15:41:28Z,1,Love the movie no one can survive this demon
@vitordecastr0,2025-02-09T04:03:59Z,2025-02-09T04:03:59Z,0,This trailer is pure spoiler
@dandansfu,2025-02-08T19:18:38Z,2025-02-08T19:18:38Z,1,did they get the idea for the movie from how mr beast smile?
@theomaimba9245,2025-02-08T11:56:00Z,2025-02-08T11:56:00Z,2,BEST MOVIE HANDS DOWN 2024! Watched both in Feb 2025 back to back and SMILE 2 was like watching a whole diff show! This Movie was suuuch a trip!! NAOMI SCOTT ATE!
@FernandoAguilarReyes-c8k,2025-02-06T18:15:04Z,2025-02-06T18:15:04Z,4,"<a href=""https://www.youtube.com/watch?v=0HY6QFlBzUY&amp;t=45"">0:45</a> these guy Was in the concert with his sister."
@dhanukaprasad1628,2025-02-06T12:23:57Z,2025-02-06T12:23:57Z,1,The whole movie was going nice but the last 5 minutes ruined it. ?
@goldenfeet2903,2025-02-04T20:32:19Z,2025-02-04T20:32:19Z,0,Chutiyapa movie hai pata nhi director dikhana kya chata tha ab kya wo puri duniya ko smile karega 🤦 end aacha hi ja raha tha per sida stage pe pahuch gaya mar bhi gai to sala gadi chala ke waha kyu gaya theek hone 🤦
@porfiriovinson,2025-02-03T16:29:46Z,2025-02-03T16:29:46Z,1,Thank you.
@thelastofitskind3034,2025-02-02T20:29:11Z,2025-02-02T20:29:11Z,1,Hopefully there is part 3
