author,published_at,updated_at,like_count,text
@paramountpictures,2025-01-22T16:34:24Z,2025-01-22T16:34:24Z,752,"Does Team Sonic have what it takes to stop Shadow before it&#39;s too late? Find out by watching Sonic 3 at home and in theatres TODAY: <a href=""https://paramnt.us/SonicTheHedgehog3"">https://paramnt.us/SonicTheHedgehog3</a> 🖤"
@Sonicwp41,2025-04-18T18:28:21Z,2025-04-18T18:28:21Z,1,"<a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=36"">0:36</a>  l am excited for  Sonic the Hedgehog’s movie 4 was a great movie"
@Sykes0li4112,2025-04-17T05:22:03Z,2025-04-17T05:22:03Z,1,"Listen to the background music <a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=89"">1:29</a>"
@YourFavStayOT8,2025-04-16T21:43:51Z,2025-04-16T21:44:19Z,1,"<a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=149"">2:29</a>: WHO POSTED MY NUDS ON TWITTER?"
@irumasuzuki9074,2025-04-16T20:33:25Z,2025-04-16T20:33:25Z,1,Behold the greatest Video Game movie of all time.
@zv3456u-,2025-04-15T22:11:25Z,2025-04-15T22:11:25Z,0,<b>Minecraft surpasses S0nic 3 at the B0x 0ffice in its first week</b><br><br>Jim Carrey will be crying at home
@dyrroth_useryt,2025-04-15T05:23:24Z,2025-04-15T05:23:24Z,1,&quot;Donut lord&quot; hits hard
@PabloGVelez,2025-04-15T01:16:34Z,2025-04-15T01:16:34Z,1,I love shadow when you come out in sonic three
@sugarofhappiness612,2025-04-15T00:20:09Z,2025-04-15T00:20:09Z,5,<b>The Super Mario Bros. Movie walked so Sonic 3 could run.</b>
@Sonicwp41,2025-04-14T18:05:37Z,2025-04-14T18:06:15Z,2,"<a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=55"">0:55</a>  l am excited for Sonic the Hedgehog’s  Movie 3. And was a  great movie. Video game version"
@jp32123,2025-04-14T09:20:21Z,2025-04-14T09:20:21Z,2,27M people are autistic. There’s no way that isn’t the case.
@Pterodactylchannel,2025-04-13T20:52:59Z,2025-04-13T20:52:59Z,4,"Shadow: When we’re done, there won’t be anything left."
@Sonicwp41,2025-04-13T16:49:58Z,2025-04-13T16:49:58Z,2,"<a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=156"">2:36</a>  l am can wait for Sonic the Hedgehogs movie 4"
@Sonicwp41,2025-04-13T16:49:29Z,2025-04-13T16:49:29Z,2,"<a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=156"">2:36</a>  l am love it Movie so much"
@Sonicwp41,2025-04-13T16:48:31Z,2025-04-13T16:48:31Z,2,"<a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=59"">0:59</a>  l did saw a movie about sonic vs shadow fighting scene"
@Sonicwp41,2025-04-13T16:46:43Z,2025-04-13T16:46:43Z,3,"<a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=8"">0:08</a>  l am excited for see sonic the hedgehog movie 4 was a great movie"
@pedroaugusto102011,2025-04-13T12:57:12Z,2025-08-26T14:14:42Z,1,"<a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=57"">0:57</a> <a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=89"">1:29</a> <a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=92"">1:32</a> <a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=93"">1:33</a>"
@Dope_Donuts,2025-04-12T20:38:25Z,2025-04-12T20:38:41Z,3,This trailer had so much hype behind it. I’m grateful to have lived long enough to see Shadow The Hedgehog on the big screen 🥹🖤💙
@sonichub-c7d,2025-04-12T13:40:43Z,2025-04-12T13:40:43Z,1,Actually I don&#39;t know the voices of the characters but I really love Sonic and Shadow they are my favourite characters for my whole entire like for ever !!!!!!!!!!!!!!!!!!!!!!¡!!
@miguelangelhernandez9294,2025-04-11T16:35:16Z,2025-04-11T16:35:16Z,0,Paramount te ruego que traigas al erizo lobo como escena post creditos si quieres que gane sonic 4 si lo traes va ser mucho jait y mas canon en los cines asi como paso con Minecraft en la escena de chinken youki porfa traelo si lo ases voy a llorar de la emoción por ver esa película asme es favor porfa
@Rheisler1475,2025-04-11T14:28:46Z,2025-04-11T14:28:46Z,4,this movie was fantastic!
@Xx_DIF_xX-726,2025-04-11T12:13:54Z,2025-04-11T12:13:54Z,3,Hi i love this movie
@Sonicwp41,2025-04-11T00:34:34Z,2025-04-11T00:34:34Z,4,"<a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=22"">0:22</a>  l am excited for Sonic the Hedgehog movie 3 was a great video game version"
@jldeshayes3109,2025-04-10T18:11:57Z,2025-04-10T18:11:57Z,0,the cucumber acccennnt the water .... in such a way that .... sorry
@ZaraObi-x2g,2025-04-08T17:18:35Z,2025-04-08T17:18:35Z,0,Sonic is ready for anything urgent 😂😂😂😂
@tipchick6181,2025-04-08T15:59:57Z,2025-04-08T15:59:57Z,0,верните старый дизайн из 2018
@BirdBrain631,2025-04-07T05:51:28Z,2025-04-07T05:51:28Z,1,this wasa my fav video game 90&#39;s
@Sonicwp41,2025-04-06T19:53:21Z,2025-04-06T19:53:21Z,2,"<a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=43"">0:43</a>  l am Sonic the Hedgehog say thank you  for enjoy movie we are love you guy  are Sonic fan"
@Sonicwp41,2025-04-06T19:50:39Z,2025-04-06T19:50:39Z,2,"<a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0"">0:00</a>  l am excited Sonic the Hedgehog Movie 3  trailer  was  released today"
@Sonicwp41,2025-04-06T19:48:48Z,2025-04-06T19:48:48Z,2,l did saw a movie
@Sonicwp41,2025-04-06T19:46:37Z,2025-04-06T19:47:40Z,3,l am excited  Sonic the Hedgehog movie 3 was a great movie video game version
@stephisaDNCR,2025-04-06T18:49:46Z,2025-04-06T18:49:46Z,0,you guys can skip this one. the plot reminded me too much of Sonic 2. it definitly underwhelming. wanting to destroy earth along with yourself was too much. like dude. chill. the evil plan was a bad idea.
@Gambitalmighty,2025-04-06T18:30:12Z,2025-04-06T18:30:12Z,0,This trailer is before<br>Beetlejuice Beetlejuice<br>The Wild Robot<br>Transformers One<br>Wicked<br>Gladiator II<br>Moana 2
@ToxicCookie.mp4,2025-04-06T18:24:22Z,2025-04-06T18:24:22Z,2,"<a href=""https://www.youtube.com/watch?v=qSu6i2iFMO0&amp;t=159"">2:39</a> this might be Live &amp; Learn but correct me if I&#39;m wrong"
@Leginimaster,2025-04-06T11:28:07Z,2025-04-06T13:00:30Z,3,THE BEST MOVIE EVER! Sonic movies&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;  transformers movies
