author,published_at,updated_at,like_count,text
@ninetyfive22,2024-05-05T19:34:01Z,2024-05-05T19:34:01Z,2,I think more people are upset that this movie doesn&#39;t portray Jesus as a white guy...So now we have all the blasphemy comments.. STFU
@ESFDragxnFistEntertainment,2024-05-03T08:45:18Z,2024-05-03T08:45:18Z,0,This is Gospels coming from the more ancient and literal Ge&#39;ez &amp; Gnostic Christian Judaian text...
@sharriathomas2612,2024-04-28T01:57:17Z,2024-04-28T01:57:17Z,0,"Wait what? I missed the blasphemy. This movie wasn’t about Jesus, it was about a man finding faith and ultimately the knowledge and belief in a high being. Where is the blasphemy in that 🧐 did I watch a different movie from the majority of people in the comments 🤷🏽‍♀️ maybe I did 🚶🏾‍♂️"
@lilyemmalindsay9025,2024-04-27T17:06:34Z,2024-04-27T17:06:34Z,0,I&#39;ve seen this movie twice. Lakeith is a good actor. I first saw him in Haunted Mansion.
@ValentinoElago,2024-04-26T01:08:45Z,2024-04-26T01:08:45Z,0,the book of tb joshua lol
@jermaineb3842,2024-04-25T01:56:37Z,2024-04-25T01:56:37Z,1,"I can’t believe that this movie is the most blasphemy movie that I’ve ever seen in my tower life. This movie is more wicked than Freddy Krueger, Chucky, and all the scary movies that man has made this movie is it’s just not right they’re always want to sit there and mock Jesus lol and these people do not even know what they do and they think that is funny especially that rapper Jay Z how sad is going to be whenever it dies Jay Z he’s going to see Jesus for who he is and what he stands for and he’s gonna stand for the judgment seat and Jay Z is not gonna like it because stop dropping and roll does not work in hell"
@Jhon_dagm,2024-04-24T11:08:38Z,2024-04-24T11:08:38Z,0,The fim was annoying are kidding this not fear
@tyneidik,2024-04-23T18:21:03Z,2024-04-23T18:21:03Z,0,"Scary part is there is 10 millions views- Matthew 10:24 &amp;32,33. May Jesus give us all discernment to seek divine truth. Psalm 139:23&amp;23. Jesus is Lord."
@typemartin4183,2024-04-21T20:08:41Z,2024-04-21T20:08:41Z,0,What would a shade of Jesus look like?
@Spectrumwave33,2024-04-18T13:40:02Z,2024-04-18T13:40:38Z,0,There telling U in your face that yahshua is like me a black man wake up read your bible tells you what he looks like in the bible he&#39;s not a white man
@kanemurder,2024-04-18T04:10:55Z,2024-04-18T04:10:55Z,0,Last part he realized he fucked up
@edrodriguez4822,2024-04-15T08:30:17Z,2024-04-15T08:30:17Z,0,Ye. That&#39;s looking good
@johanruiz3422,2024-04-12T01:11:01Z,2024-04-12T01:11:01Z,0,I wonder how Christian’s will feel about this
@nyconycorex4566,2024-04-08T17:55:23Z,2024-04-08T17:55:23Z,0,DISGUSTING SHITS!
@Glen18887,2024-04-06T18:49:14Z,2024-04-06T18:49:14Z,1,Blasphemy
@patriot2989,2024-04-06T01:56:24Z,2024-04-06T01:56:24Z,0,Listen I could be wrong but I don’t think there were black people in the Middle East in that time period. And Jesus certainly wasn’t a black man. If you walk into a church any church ⛪️ you can clearly see that.
@m-c3263,2024-04-01T19:46:29Z,2024-04-01T19:46:29Z,0,Satanic shit 🖕
@dailystuff1186,2024-03-31T19:22:11Z,2024-03-31T19:22:11Z,0,"Religion is for week minded people and for dumb too, because otherwise there wouldn&#39;t be gold on churches while homeless in the streets 💩"
@rahulsaroy7424,2024-03-30T06:11:12Z,2024-03-30T06:11:12Z,2,Jesus is king 👑 you are not god 👎🏻
@alestormmm,2024-03-27T18:13:49Z,2024-03-27T18:13:49Z,2,Monkey Movie🤮
@demetriusgarrett5822,2024-03-26T10:54:26Z,2024-03-26T10:54:26Z,1,People please take my word the commercial was made that way to draw attention I watched the movie today <br><br>The man didn’t think god was real   And then he lied and had people believe he was god. But in the end he became a child of god after certain things happend to him. The movie has a powerful message about faith don’t judge a book by its cover you have to read it I promise it is not blasphemy like everyone is thinking the man who is saying and doing  blasphemy things will become a child of god and start spreading the word as a child of god in the end   The commercial is designed to gain attention but when you watch it you will se the beauty in the message it’s positive and powerful I suggest you watch it it DOES NOT goes against your religion I promise ✊🏾
