author,published_at,updated_at,like_count,text
@Massive-rat-hypocrite,2025-01-10T22:49:32Z,2025-01-10T22:49:32Z,3,References. The movie. Deadpool robots.
@martinkrmic9702,2025-01-08T21:50:45Z,2025-01-08T21:50:45Z,0,realy good movie!! I liked it alot.. reminds me of the OG series. I know why bumb bee got his voice box all fucked up now in  the newer movies :P
@Elisashaa,2025-01-08T10:33:23Z,2025-01-08T10:33:23Z,2,This sucks
@Darkchao_berserko22,2025-01-07T07:06:49Z,2025-01-07T07:06:49Z,5,Just a movie being a victim of terrible marketing. The movie itself is actually pretty good.
@mapelianbutton4954,2025-01-06T16:38:43Z,2025-01-06T16:38:43Z,1,"I might be sarcastic here but thanks to this bad trailer, Transformers One has actually become a more than meets the eye movie."
@Kingepticon,2025-01-06T03:17:17Z,2025-01-06T03:17:17Z,0,Save a ton of money and hire professional VAs.  They&#39;ll do a better job at a fraction of the price.
@AnthologyOfIdiocy,2025-01-05T02:12:05Z,2025-01-05T02:12:05Z,2,This is a hidden gem that should have been a huge deal
@e.n.d1997,2025-01-04T18:43:23Z,2025-01-04T18:43:23Z,0,BRO THIS TRAILER IS AMAZING!!! DAFUQ I THOUGHT IT WAS AWFUL CAUSE IDIOTS WERE TALKING SHIT BUT IT&#39;S ACTUALLY <b>sooo cool</b>
@JeffyPlaysItAll,2025-01-04T01:42:34Z,2025-01-04T01:42:34Z,2,"Biggest thing thing I loved about this movie was Brien Tyee Henry&#39;s performance as D-16 (Megatron)!! <br>You really see what D-16 goes through to later became Megatron and the ultimate leader of the Decepticons! You don&#39;t find yourself feeling sorry for Megatron, but you understand why he&#39;s so angry, why he feels the way he feels and why he believes he&#39;s the fit ruler for Cybertron. He really goes down a dark and heartbreaking path to become the monster we all know him as now."
@vit-o-krakencontanova,2025-01-04T00:33:50Z,2025-01-04T00:33:50Z,2,Never agree with boxoffice
@antonioMK5,2025-01-03T00:59:11Z,2025-01-03T00:59:11Z,5,Whoever made this trailer needs to return the money they got. They put all the jokes in the trailer and left all the serious stuff away that actually made this movie good??<br>If they only put Megatrons speeches in one trailer this movies was going to get so much more money. MEGA FAIL
@crazyaces4042,2025-01-02T19:11:10Z,2025-01-02T19:11:10Z,0,ok I guess if  you want to see a cartoon version of it.. or graphics like early 90&#39;s. I will NOT pay to watch it. MAYBE if/when it comes out streaming free. Too bad. I was sort of excited at the title and description then I saw trailers. nope not right now.
@jimmybruno5429,2025-01-02T08:29:44Z,2025-01-02T08:29:44Z,0,Who actually watched and gave it a chance after watching this trailer because oh dear primus this is the greatest TRANSFORMERS MOVIE EVER!!!!!!!❤❤❤
@VixiMixi,2025-01-02T07:50:24Z,2025-01-02T07:50:24Z,0,movies actually really good
@AR-q8z,2025-01-01T01:33:01Z,2025-01-01T01:33:01Z,0,this movie is amazing i honestly didn&#39;t expect a good movie.
@A1trizzy,2024-12-31T21:45:14Z,2024-12-31T21:45:14Z,1,Man u have to see this movie if u haven&#39;t its for transformers fans its not some kiddy cheesy movie its pure fire 🔥
@EpicClosing140,2024-12-31T18:58:48Z,2024-12-31T18:58:48Z,1,Even a great movie can end up being bomed because of the bad marketing
@WaldoBagelTopper,2024-12-29T00:03:07Z,2024-12-29T00:04:44Z,0,"I finally got around to watching this today, and I did so reluctantly. This really was a very impressive and fun movie. And instant classic in my book. And I come from the original Transformers. Not mad at this at all. And this trailer does NOT do a good job of selling the movie, which is why I was reluctant in the first place. Chris Hemsworth and Brian Tyree Henry did amazing jobs voicing Optimus and Megatron."
@Khost__,2024-12-28T23:49:27Z,2024-12-28T23:49:27Z,0,"Trailers did this film so dirty, glad I went in blind"
@ogelitez4902,2024-12-28T04:29:29Z,2024-12-28T04:29:29Z,3,This is actually maybe the best story of transformers since sam whitchicky ones pleasantly surprised
@MikeDavis-be8gf,2024-12-26T17:48:33Z,2024-12-26T17:48:33Z,0,Why not just remake transformers the movie 86 instead of making it lame like this ?
@minx8334,2024-12-22T11:33:51Z,2024-12-22T11:33:51Z,0,Only reason i didnt pay to watch this movie. Was this horrible fkn trailer
@ZackSingh-c1p,2024-12-22T04:23:00Z,2024-12-22T04:23:00Z,0,What is the song in the train scene called
@alexabreuor,2024-12-20T08:36:01Z,2024-12-20T08:36:01Z,0,"Can you remake Armada, Energon and Cybertron?"
@clairehislop5873,2024-12-19T18:49:41Z,2024-12-19T18:49:41Z,1,I&#39;m not even a transformers fan but I wanna see this
@EchosAdventour,2024-12-16T06:46:05Z,2024-12-16T06:46:05Z,2,Ok guys hear me this is very important.<br><br>I was skeptical watching the this in the theatre because its a cartoon and for kids and the trailer is trash af. Tonight!!! Like tonight!!!! Literally 12/16/24 saw a full movie of it for free on youtube and its on 4K so i got bored and just &quot;fck it i got free time why not watch cartoon?&quot; I watch the whole fckng movie and i swear to you you have to watch it and you going to love it i promise!!! The whole story is out of this world!!! Witness how a miner save the whole world!!!
@Variks-1,2024-12-16T02:40:28Z,2024-12-16T02:40:39Z,7,"This trailer is terrible, now I understand why the movie flopped."
@VinoSumi-lm6rr,2024-12-15T10:28:55Z,2024-12-15T10:28:55Z,1,"Despite the lack of excitement in the trailer, you will enjoy the film if you see the full movie."
@jcehlert,2024-12-14T22:56:36Z,2024-12-14T22:56:36Z,1,Top Ten underrated movies of 2024?
@Frijoleto619,2024-12-14T20:35:23Z,2024-12-14T20:38:26Z,0,Whoever was responsible for hiring the marketing crew of this trailer should be fired immediately because this movie did cook <b>chefs kiss</b> 🤌 it did. It didn’t deserved to flop yo!
@hrzTheChillGuy,2024-12-13T20:38:25Z,2024-12-13T20:38:25Z,2,They looks like some moving toys
@seppebaert3051,2024-12-13T16:28:07Z,2024-12-13T16:28:07Z,2,This movie was great
@itsthermostime2830,2024-12-13T16:07:08Z,2024-12-13T16:07:08Z,3,The marketing team for this movie needs to be blacklisted for all eternity. They were handed gold and sold it as a shiny paperweight.
@SmallsSmalley,2024-12-13T15:01:52Z,2024-12-13T15:01:52Z,0,B game is at the girls house?
@SmallsSmalley,2024-12-13T14:59:45Z,2024-12-13T14:59:45Z,0,B game is at the kids house?
@Jackiechain-g7w,2024-12-13T12:50:20Z,2024-12-13T12:50:20Z,3,best movie of 2024 in the animated section littttt best
@Waterbot731,2024-12-12T13:32:34Z,2024-12-12T13:32:59Z,0,"Ripslinger (to Peter Parker and Jason Todd): You two, come with me. Report to waste management. <a href=""https://www.youtube.com/watch?v=0rmJXXKDrsM&amp;t=12"">0:12</a>"
@Doctor_Idiot,2024-12-12T12:49:30Z,2024-12-12T12:50:24Z,2,"Fun facts : for those who don&#39;t know, the transformation sfx on <a href=""https://www.youtube.com/watch?v=0rmJXXKDrsM&amp;t=110"">1:50</a> was a reuse of jetfire&#39;s first transformation sfx in revenge of the fallen"
@BrokerLower,2024-12-11T18:27:51Z,2024-12-11T18:27:51Z,0,Studio : unveils new movie with trailer<br>Viewers : movie looks bad<br><br>Hindsight Viewers : movie was good you guys overreacted to the trailer<br><br>Me : it&#39;s not the Viewer&#39;s fault the unveiling trailer was not a true representation of the movie.
@nEthing4Her,2024-12-10T15:18:45Z,2024-12-10T15:18:45Z,2,Man I am <i>SO</i> glad I don&#39;t watch trailers until AFTER seeing a film. So many great moments spoiled for those who do.
@PrasadKoranne-n8w,2024-12-10T07:27:53Z,2024-12-10T07:27:53Z,0,Spectacularly watchable and an exhiliarating experience.Period.
@TonyKe-s6k,2024-12-10T03:46:11Z,2024-12-10T03:46:11Z,0,OMG Bumblebee in this film must be hilarious! I want to see this film so badly.
@nayutaimoto,2024-12-09T10:02:05Z,2024-12-09T10:02:05Z,3,"This trailer&#39;s funny tone is so messed up which it has nth to do with the movie, the movie has depth and bold stories in it, which is so much better than what it presented here in the trailers. F you marketing team"
@imaginverse307,2024-12-09T07:08:06Z,2024-12-09T07:08:06Z,0,Optimus is chill guy 😂❤
@pododododoehoh,2024-12-09T07:03:11Z,2024-12-09T07:03:11Z,6,"Every goofy joke in the film, they managed to shove in this one trailer. It was so much more than this."
@crimesweepersthewebseries3385,2024-12-09T04:02:06Z,2024-12-09T04:02:06Z,1,"Great movie. Please make another one and put it in theaters. The marketing  was very bad for the first one, but it will make money next time."
@iantaggart3064,2024-12-09T00:50:55Z,2024-12-09T00:50:55Z,2,Oh yeah. This is an awful trailer and it spoils everything. Glad I saw the movie before this.
@sail0rm2rs,2024-12-08T13:03:15Z,2024-12-08T13:03:15Z,2,"To be honest, the movie is an absolute masterpiece and I really really wish that there’s gonna be a sequel and when I mean masterpiece, I mean this is a perfect movie. Do you know what PERFECT means?<br><br>Only if the trailer was better than the movie would have got more recognition by fans or returning fans.<br><br>In fact, I used to be a fan of t the transformers franchise, but I stopped watching the movies because of how long it takes for a movie to get created. so when I watch this movie and finish the movie, I immediately became a fan of the Transformers franchise once again. and after I went home I decided to watch a Transformers movie however, from where I live, there’s no transformers movies I checked in Netflix and Disney+ those are the only entertainment apps that I checked because I don’t have other entertainment apps<br><br> And by the way I only watched transformers movies and still never read a <br>transformers book."
@greentree4714,2024-12-08T11:07:36Z,2024-12-08T11:07:36Z,0,Bee: BADASSNAGATRON <br>Atuo mas prime:💀<br>magatron:☠
@RodrigoSchmidtAdv,2024-12-08T10:42:49Z,2024-12-08T10:42:49Z,6,This movie is more than meet this eye!
@Scripture-Man,2024-12-08T03:50:45Z,2024-12-08T03:50:45Z,2,"A Transformers comedy parody? I could understand this being in a sketch show, but an entire parody film seems wrong to me. Why do they have to be Transformers? Just give them different names and make a different franchise, don&#39;t lower the tone of the actual Transformers. The real characters are nothing like this."
@plushmadness1553,2024-12-07T18:06:13Z,2024-12-07T18:06:13Z,3,This trailer did not do the film justice at all
@alexpaz9700,2024-12-05T08:24:44Z,2024-12-05T08:24:50Z,4,Didn’t realize the amount of hate for this movie. It was actually badass
@thebigquack6945,2024-12-04T10:23:47Z,2024-12-04T10:23:47Z,1,Coming back to the trailer and reading the comments<br><br>MASSIVE overreaction from all of you
@hristokrastev4312,2024-12-02T21:45:42Z,2024-12-02T21:45:42Z,0,Why the pink robot has female voice and the blue is with male isn&#39;t that a bit stereotypical
@aleksalex1590,2024-12-02T18:46:23Z,2024-12-02T18:46:23Z,1,"Imagine if first Transformers and every other one after that was animated (Transformers would never have become such a good franchise) The autobots in this new one look like plastic,there is no weight in them,no metal look and the colors are so off... To me this one is not even worth a watch...<br>I came to watch the trailer after i played the movie a bit first<br>I paused it to come and check if the whole movie is  animated BS or not<br>And now i see people saying that trailer doesnt do it justice... To me trailer and movie are the same nonsense..."
@Etrickster,2024-12-01T18:40:37Z,2024-12-01T18:40:37Z,1,Arise optimus prime
@Kielimies,2024-12-01T16:45:52Z,2024-12-01T16:45:52Z,0,The movie that teaches kids that fembots are better than malebots &quot;in every way&quot;.
@kellyw976,2024-12-01T14:03:27Z,2024-12-01T14:39:04Z,3,"(Please note: this is a very, very long comment, like an essay. If you&#39;re not in the mood to read a long comment then please feel free to skip it. Thank you! )<br><br>I grew up in the &#39;80s and watched the entire original Transformers series and then some. Admittedly, I didn&#39;t watch most of the other Transformers movies or the other series that came later, and here are my thoughts on this movie, which I watched recently. It had a lot of really great things going for it, but also some things that really could have been done so much better. I loved the humor, there were parts where I had to pause the movie just to get all the laughter out of my system. It was a really cool idea to have Optimus Prime and Megatron start out as best friends, and I loved the way Starscream and the others were introduced, and Elita One and Bumblebee&#39;s central roles. (This is very nerdy, but Bumblebee was my first crush, I was maybe five or six at the time? Haha. So that&#39;s very nerdy but he&#39;ll always be special to me for this reason, and they portrayed him so wonderfully in this film). I thought the way the rivalry and general dynamic between D-16/Megatron and Starscream was introduced was excellent, and I loved how they depicted the way that Megatron&#39;s cannon made its first appearance, that was so well done. But some things... could have been done so much better considering the richness and quality of the story overall. <br><br>Please note: the following couple of paragraphs contain criticisms that I have of this movie (including SPOILERS); however, I want to emphasize again that I enjoyed it overall and thought there were some amazing things about it; maybe because I had found it to be very good I held it up to very high standards, and so I was disappointed where I felt it could have done better. If you feel that you will not be happy reading criticisms of this movie then, again, please feel free to stop reading here.<br><br>I feel like they kind of rushed into some things because they really wanted to get to a certain point in the plot, and they didn&#39;t allow enough time for certain dynamics and emotions to feel believable. For example, I feel like the transition from Orion Pax and D-16 going from best friends to enemies happened too fast and didn&#39;t feel credible; really, the change in personality in D-16 didn&#39;t feel credible in the short amount of time it was granted, even considering his motive. It just didn&#39;t feel convincing. Or like how quickly Starscream&#39;s followers relinquished their loyalty to him and rapidly switched to D-16 instead, it happened too quickly to feel credible. And especially the part toward the end where Orion Pax actually took a hit for Sentinel Prime - I felt like this was going too far, like I get that Orion would be against wanting to destroy and kill (like D-16 wanted), but actually standing in the line of fire to take a hit for Sentinel Prime, it felt like too much. I feel like taking a hit/risking your life is more something very personal that you would do for someone you deeply care about and love, it didn&#39;t feel like it fit for that situation. Especially since afterward Orion apparently had no qualms blasting D-16/Megatron with his hardest hit. You might say &quot;oh but D-16 betrayed him by throwing him down (which also didn&#39;t feel like something he would credibly do), so supposedly that would justify why later in their fight Orion had blasted D-16 so readily - but it didn&#39;t have a feel of him hurting from a deep betrayal, which would show more conflict in him, an inner battle of love for his former best friend and the pain that the betrayal carried. Like Orion actually risked his life for Sentinel Prime but then not long after he easily blasted his former best friend with his most powerful hit... it just didn&#39;t feel believable to me. The writers could have done so much better. <br><br>Also I feel like the part where D-16 just let Orion fall into the abyss after he took the hit, that also didn&#39;t feel credible to me: like this person had been your best friend for such a long time, and then without any qualms you&#39;d just let him fall to his doom, it was too much. He should have been shown to go through more conflict and turmoil, like even as angry as he felt, he wouldn&#39;t be able to just drop him. I felt like the writers were so eager to get to the point of an established rivalry between Optimus Prime and Megatron that they made everything go too fast to where it wasn&#39;t believable. Also like... I get that the original Transformers was intended for boys (even if I was a female who liked it as a kid and as an adult), and so most of the important characters were male-- but it still feels kind of crappy that even though Elita-1 is important in this film (one of the only two important females...) she still for some reason voluntarily takes second seat to Orion Pax and fangirls about his glory, where her greatest accomplishment is being second to him-- even though that doesn&#39;t make sense either if presumably she started out being ahead of him. But I get that if they did this differently, then fanboys would complain that they&#39;re &quot;changing it to make it &#39;woke&#39; and give females importance where it wasn&#39;t there originally,&quot; like how they complained about four female Ghostbusters - instead of saying that the original should have given females more importance in the first place, considering that we also liked watching it). Same with Airacnid: if she is so amazing then why is she so eagerly serving Sentinel Prime instead of being the important leader herself... <br><br>And speaking of which, I feel like Orion/Optimus&#39; personality also changed a little too fast, from kind of a good-hearted rascal to this big commanding leader. It would have been more realistic to have him and Megatron both feel more conflicted about the relationship between them, and maybe fumble around with the new power of being a leader-- maybe feel that the responsibility was too heavy all at once, since neither of them really had prior experience leading... The way the ending was done was a little corny, I just feel like the writers were so eager to get to this point of &quot;and this is how dynamics were in the original Transformers series, and now you saw how it became that way&quot; -  that they rushed toward it and then made some kind of cheesy scenes in the end of &quot;I am Optimus Prime&quot; etc. Was it still a good movie? Yes, I liked it and enjoyed watching it a lot, it had a lot of fantastic things going for it. I was really hoping that at the very end there would be some hilarious scene where Bumblebee does something stupid and it makes his horns pop out, but unfortunately that never happened - but they did include a funny scene with Bumblebee at the end, so that was cool."
@spicychikn3336,2024-12-01T02:12:21Z,2024-12-01T02:12:21Z,3,People seriously overreacted to this trailer. I agree it isn&#39;t the best but it seriously isn&#39;t that bad. And the actual movie was FANTASTIC
@HANGINATIONchuriamamaori,2024-11-30T23:40:53Z,2024-11-30T23:40:53Z,3,Such a great movie
@bauwrononseethong7738,2024-11-30T20:07:28Z,2024-11-30T20:07:28Z,0,Pax won let’s goooo
@BrianMazibuko-b7f,2024-11-29T17:36:31Z,2024-11-29T17:36:31Z,0,"this is one best collection of the transfoermers..story line is good, i love it! 5stars 10/10"
@riverse9235,2024-11-29T13:59:16Z,2024-11-29T13:59:16Z,1,Yes trailar is too bad but the movei is best i didn&#39;t watched but the people in the comment section saying this .<br>And after this movei i suggest you guys let&#39;s watch again transformers prime but after your studies after your daily goal with a satisfaction because i learned it from optumas prime 🥹
@RudolfKlusal,2024-11-29T11:16:22Z,2024-11-29T11:16:22Z,1,"Oh my god, 25 seconds and I needed to stop, such cringe 😞"
@S_O_U_R_A_V_D_E_Y,2024-11-29T00:05:26Z,2024-11-29T00:05:26Z,1,"Great movie, good origin story"
@jermainedavisjr3673,2024-11-28T19:13:46Z,2024-11-28T19:13:46Z,0,This movie was way more mature then it looks
@malhamahalqubra373,2024-11-27T03:40:51Z,2024-11-27T03:40:51Z,0,When watching the full movie. Now we all know Megatron and Optimus was a friend before they becoming against each others
@DarkAnims,2024-11-26T22:00:15Z,2024-11-26T22:00:15Z,2,This entire comment section were victims of this bad trailer.
@Plllhgrr,2024-11-26T14:35:23Z,2024-11-26T14:35:23Z,1,"Shame, the trailer trash but the film is great!"
@StarlightXXVII,2024-11-26T11:35:54Z,2024-11-26T11:38:38Z,0,"My tears when I finished watching the movie. Very heartbreaking 💔 Feel sad of their friendship. I like this version of transformer very nostalgic. I don&#39;t the version of transformer that have a messy look, i just don&#39;t like it. Actually I already forgot what happened except the rise of the beast."
@blankpaper8961,2024-11-26T00:46:12Z,2024-11-26T00:46:12Z,2,That&#39;s why you gotta invest in marketing team as much as the movie itself. That&#39;s a bad trailer for a good movie.
@qui-gongimli4665,2024-11-25T19:23:32Z,2024-11-25T19:23:32Z,3,I think Marvel humor killed transformers one. The first trailer had all the jokes in the movie and it seemed like transformers one would be a bad comedy. It was a good movie but a lot of youtube videos blame the first trailer and the marketing for the bad box office for ransformers one.
@imnugget8085,2024-11-25T18:58:59Z,2024-11-25T18:58:59Z,3,Awful trailer great movie
@49beetlejuice,2024-11-25T16:53:40Z,2024-11-25T16:53:40Z,1,Loved this movie!! How did I miss out on arrival.
@Unkxwn_1,2024-11-25T03:31:02Z,2024-11-25T03:31:02Z,0,This was before D-16 became Megatron.
@Unkxwn_1,2024-11-25T03:28:43Z,2024-11-25T03:28:43Z,0,Don&#39;t judge until you watch it
@Unkxwn_1,2024-11-25T03:28:01Z,2024-11-25T03:28:01Z,0,Please watch the movie if you haven&#39;t. It&#39;s not bad. The trailer makes it look bad but it&#39;s not.
@Unkxwn_1,2024-11-25T03:26:53Z,2024-11-25T03:26:53Z,0,Why did they choose these songs? Omg. The movie is more serious than this
@nalanhazzard,2024-11-24T20:42:19Z,2024-11-24T20:42:19Z,3,Just watched it and it was surprisingly good 10/10
@Getmilkk,2024-11-24T13:38:07Z,2024-11-24T13:38:07Z,3,They did a terrible job marketing this movie
@thedeadofdunharrow9670,2024-11-24T05:32:33Z,2024-11-24T05:32:33Z,1,"Man, i never watched this trailer, nor any of the others for that matter, and heard that this trailer sabotaged the movie. They werent lying, this teailer is a pretty big and steamy pile."
@jjrod80,2024-11-23T20:22:56Z,2024-11-23T20:22:56Z,3,Who&#39;s here to acknowledge this movie was absolutely 🔥🔥🔥 and this trailer did a pi$$ poor job of showcasing how good it was?
