author,published_at,updated_at,like_count,text
@LisaChrimes-d7y,2025-02-21T20:52:58Z,2025-02-21T20:52:58Z,0,Absolutely I really  love the 1st and 3rd  cried my eyes out  venom got killed 😢😢😢😢😢😢😢😢😢😮😮😮😮😮😮😮 excellent  movie big thanks to  Tom cast crew and production team  wardrobe department  stunts x
@atozwithzacharye,2025-02-21T01:53:56Z,2025-02-21T01:53:56Z,0,"This movie was so much fun and sad too. I have no idea whether they will make another one or not, but I&#39;m here if they do lol"
@petercarter5562,2025-02-20T21:25:31Z,2025-02-20T21:25:31Z,0,how dos venom do that ?? ........... i am idk
@Maradnus,2025-02-20T12:59:44Z,2025-02-20T12:59:44Z,0,never been more let down! <br>I haven&#39;t watched a Marvel since Iron Man2. oh no I lie. I caught a it of Capitan America. but turned it off.<br>I hadn&#39;t watched any Venom until today where at a friends we watched this.. <br>I can see why people say Marvel is on its way out. <br>Not very entertaining at all. <br>Venom was terribly done I thought. I&#39;ll spare you my detailed opinion. but I cant see me bothering to watch more of theese over hyped movies! <br><br>I feel sorry for people who grew up with this garbage for cinema!
@KatieAlexander-d1i,2025-02-19T16:25:01Z,2025-02-19T16:25:01Z,0,Very instructive
@onioxx,2025-02-17T07:02:09Z,2025-02-17T07:02:09Z,0,Venom
@VickieCaballes,2025-02-17T01:36:55Z,2025-02-17T01:36:55Z,0,It was very instructive
@LauraVicente-l1r,2025-02-16T23:36:06Z,2025-02-16T23:36:06Z,0,Am I the only one who didn’t know this movie came out?
@BOOMboxy-s3p,2025-02-15T09:27:01Z,2025-02-15T09:27:01Z,0,Venom
@Ali-aljabri,2025-02-14T19:35:29Z,2025-02-14T19:41:00Z,1,"The ending is so sad 😢<br><br>But there is no need to be sad, as these Marvel movies always create time portals that restore the dead and revive them again, so that the series remains endless."
@theviking25,2025-02-14T19:25:54Z,2025-02-14T19:25:54Z,1,Every damn US movie and Show has that one &quot;ethnic diverse&quot; woman with that exact haircut
@BlazeNorman-h9l,2025-02-13T13:28:56Z,2025-02-13T13:28:56Z,0,We really got
@JerkeidaMyricks,2025-02-13T10:17:41Z,2025-02-13T10:17:41Z,0,Thank you.
@Laura-n5r2j,2025-02-12T14:18:27Z,2025-02-12T14:18:27Z,1,Thank you so much for this video. It was very interesting.
@icwhy4366,2025-02-11T19:42:52Z,2025-02-11T19:42:52Z,1,I thought the second one was bad but this one was beyond trash.
@Laura-n5r2j,2025-02-11T16:22:40Z,2025-02-11T16:22:40Z,0,Thank you very much.
@Камиль-ъ4ц,2025-02-11T11:42:25Z,2025-02-11T11:42:25Z,0,Venom
@GeneKnatt,2025-02-11T06:20:14Z,2025-02-11T06:20:14Z,0,Thank you so much for this video. It was very interesting.
@AmethysLVLintheGD,2025-02-10T06:05:30Z,2025-02-10T06:05:30Z,0,Venom
@AmandaEdwards-c6k,2025-02-10T00:21:35Z,2025-02-10T00:21:35Z,0,Thank you very much.
@eldar_askarbekov,2025-02-09T15:35:52Z,2025-02-09T15:35:52Z,1,Movie venom
@MonMonAye-fc1mn,2025-02-09T14:20:37Z,2025-02-09T14:20:37Z,0,Veno
@VictoriaThomas,2025-02-09T06:59:11Z,2025-02-09T06:59:11Z,0,Very instructive
@Gambitalmighty,2025-02-09T01:27:04Z,2025-02-09T01:27:04Z,0,I won’t forget you buddy
@Sludgefactoryy,2025-02-08T20:39:20Z,2025-02-08T20:50:59Z,1,"Rated M<br>Blood and Gore, Intense Violence, Strong Language, Suggestive Themes"
@nourasseli3133,2025-02-07T18:50:14Z,2025-02-07T18:50:14Z,0,oki
@FeoMaks,2025-02-07T14:33:38Z,2025-02-07T14:33:38Z,0,venom
@PloxoN-w7v,2025-02-07T06:58:07Z,2025-02-07T06:58:07Z,0,love venom
@МегаИгры150,2025-02-07T02:36:04Z,2025-02-07T02:36:04Z,0,venom
@МегаИгры150,2025-02-07T02:35:51Z,2025-02-07T02:35:51Z,0,VENOM
@МегаИгры150,2025-02-07T02:35:43Z,2025-02-07T02:35:43Z,0,Venom
@christopherpleasant5550,2025-02-06T23:25:30Z,2025-02-06T23:25:30Z,0,"<a href=""https://www.youtube.com/watch?v=__2bjWbetsA&amp;t=115"">1:55</a>"
